grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,sVGCPriors,JITprob,JITnew,sVGCPriorNew,JITPriors,RandomForgetsVGC,RandomForgetsVGC025,RandomForgetsVGC010,RandomForgetsVGC040,RandomForgetsVGC033,TargetForgetsVGC,SpatialsVGC,SpatialsVGC025,SpatialsVGC010,SpatialsVGC033,SpatialsVGC040,JITRandom010,JITRandom016,JITRandom025,JITRandom033,JITRandom040,SpatialJIT,SpatialJIT025,SpatialJIT010,SpatialJIT033,SpatialJIT040
grid-001-n,obs-5,R,U,5,9,1,3,0.009281754,4.54E-05,17,0.53534717,0.003333333,0.003333333,0.269340252,0.330497235,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.049729928,4.54E-05,0.032128225,0.037689772,0.058893637,0.053183536,0.042748623,0.009589791,0.026461694,0.014348141,0.047997357,0.044173522
grid-002-n,obs-0,L,L,10,4,1,2,0.011330387,4.54E-05,17,0.6666818,0.110812335,0.110812335,0.388747068,0.419349082,0.086190114,0.105791111,0.035043014,0.073492145,0.113091779,0.067341981,0.040263121,0.070246553,0.010254346,0.133243693,0.080462238,0.070171748,0.06949047,0.075111245,0.069404073,0.075731073,0.094372335,0.11618998,0.086369956,0.129002812,0.152665766
grid-002-n,obs-1,R,L,8,7,6,8,0.010272054,4.54E-05,17,0.00027913,0.28862542,0.28862542,0.144452275,0.034855636,5.11E-05,5.11E-05,4.74E-05,5.09E-05,5.10E-05,4.94E-05,0.017234163,0.009397476,0.023356042,0.104093097,0.123977123,0.063252878,0.063728593,0.05556335,0.053210953,0.048017295,0.099992948,0.118786351,0.091551622,0.108079276,0.136674075
grid-002-n,obs-2,R,U,1,14,4,6,0.872875553,1,17,0.16670509,0.622630776,0.622630776,0.394667933,0.109591276,0.830013433,0.750017072,0.940004694,0.560025443,0.670020544,0.370032621,0.920007158,0.940005425,0.980001366,0.847049176,0.780042225,0.659538012,0.627741945,0.540840163,0.470223376,0.448376305,0.70185379,0.684416113,0.727604605,0.664109223,0.648645507
grid-002-n,obs-3,L,U,10,7,3,5,0.01226421,4.54E-05,17,0.33344219,0.146784789,0.146784789,0.24011349,0.374015701,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.005044516,0.010038562,4.54E-05,0.084190706,0.025053739,0.038518009,0.039141293,0.041201638,0.036174195,0.036608113,0.058401065,0.08088786,0.054450608,0.102384232,0.120859906
grid-002-n,obs-4,L,L,14,1,4,6,0.187075889,0.999954452,17,0.99998482,0.480949393,0.480949393,0.740467107,0.30396704,0.913813568,0.834218504,0.954959344,0.76652411,0.746924726,0.782674207,0.956182647,0.983127752,0.968449861,0.888920633,0.910125801,0.43247905,0.396841805,0.354219944,0.318647708,0.25851947,0.433910306,0.428869217,0.431740825,0.416191055,0.413861304
grid-002-n,obs-5,R,U,1,14,4,6,0.013198033,4.54E-05,17,0.00605605,0.071438744,0.071438744,0.038747397,0.090244445,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010044944,0.02004449,4.54E-05,0.080041766,0.030044036,0.042316245,0.041658808,0.041093987,0.035676369,0.02571382,0.052170226,0.077581999,0.062666672,0.097229758,0.106613924
grid-003-n,obs-0,L,NaN,10,4,2,4,0.276965366,0.99328815,19,0.75871783,0.284459076,0.284459076,0.521588453,0.274133237,0.564843776,0.432342584,0.707250512,0.256592176,0.372060882,0.178442777,0.896687462,0.783499355,0.875014839,0.752804671,0.591491895,0.276230402,0.269449017,0.2342698,0.19298838,0.192917921,0.296527375,0.296266338,0.293205321,0.312110305,0.332921448
grid-003-n,obs-1,L,L,11,3,3,5,0.218691589,1,19,1,0.402509484,0.402509484,0.701254742,0.486849225,0.830000464,0.690003669,0.920000914,0.620005515,0.730004121,0.710007743,0.860006356,0.910004086,0.930003178,0.760010895,0.830008172,0.353169068,0.330009431,0.286364872,0.260552875,0.254657463,0.358793237,0.359024605,0.3641623,0.352103962,0.362409512
grid-003-n,obs-2,R,U,1,14,2,4,0.769323804,1,19,0.08498765,0.801292129,0.801292129,0.44313989,0.438163004,0.85,0.77,0.89,0.57,0.72,0.42,1,0.995000113,1,1,1,0.804217402,0.733977457,0.670213755,0.643191466,0.51933771,0.827674645,0.804515716,0.856351204,0.774233176,0.712167511
grid-003-n,obs-3,R,U,2,17,5,7,0.007916438,4.54E-05,19,4.54E-05,0.107405026,0.107405026,0.053725213,0.064663709,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.040051307,0.055086357,0.060051714,0.13023587,0.260126197,0.039207793,0.03801655,0.035944937,0.03085262,0.027301843,0.097010976,0.122709692,0.079706615,0.151413477,0.146067498
grid-003-n,obs-4,L,U,6,9,4,6,0.1211105,0.075761798,19,0.1921029,0.091473307,0.091473307,0.141788104,0.313643007,0.181610708,0.156779228,0.197962619,0.215857795,0.232193667,0.021096366,0.28949751,0.302364922,0.249281208,0.504496189,0.404832658,0.077388913,0.074011592,0.074760663,0.074554028,0.073782616,0.136052644,0.156068304,0.110158204,0.183780634,0.225370494
grid-003-n,obs-5,R,L,6,9,3,5,0.031061023,4.54E-05,19,0.25003405,0.410449672,0.410449672,0.330241861,0.368056361,0.140039042,0.17003768,0.090041312,0.280032686,0.22003541,0.17003768,0.130039496,0.285035935,0.190036772,0.395078194,0.577304495,0.264723955,0.273296896,0.247456041,0.200063209,0.187408326,0.305131667,0.302646398,0.293858816,0.290198047,0.303118419
grid-004-n,obs-0,L,L,8,6,3,5,0.009721567,4.54E-05,22,0.66034797,0.370647968,0.370647968,0.515497969,0.352738712,0.090040975,0.189599006,0.050240341,0.192354221,0.15090969,0.203671338,0.083375934,0.043377219,0.056707449,0.236743391,0.264687228,0.34662752,0.351005558,0.335747604,0.30551075,0.300537069,0.394347902,0.400059486,0.379664979,0.395301921,0.41815902
grid-004-n,obs-1,R,L,2,13,1,3,0.249504483,1,22,0.25003405,0.323425817,0.323425817,0.286729934,0.488848092,0.88,0.680969732,0.936084532,0.573171835,0.739381031,0.383301475,0.989999092,0.999999092,1,0.989999092,0.989998184,0.354041661,0.375140205,0.346961539,0.290847807,0.269958764,0.40963908,0.437427833,0.384268551,0.425265528,0.485644129
grid-004-n,obs-2,L,L,5,11,4,6,0.011750826,4.54E-05,22,0.08337008,0.056681837,0.056681837,0.070025959,0.105291149,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.045476035,0.029216851,0.018390573,0.153681478,0.218535217,0.047545068,0.042983269,0.039590427,0.042314699,0.037864566,0.077244184,0.090717654,0.06960887,0.121993802,0.147561445
grid-004-n,obs-3,L,U,13,3,4,6,0.192496461,1,22,1,0.480597878,0.480597878,0.740298939,0.461781688,0.860006356,0.620015602,0.930003088,0.670011577,0.740011029,0.730010867,0.913338478,0.918337797,0.976667423,0.760011452,0.700006829,0.361994382,0.359244568,0.337293018,0.309000781,0.275522286,0.433996426,0.438870438,0.425356401,0.433398618,0.459125101
grid-004-n,obs-4,R,U,7,10,4,6,0.182963662,1,22,0.3333636,0.62835715,0.62835715,0.480860375,0.442677765,0.690014073,0.46862546,0.823923439,0.365832798,0.495581959,0.222866173,0.930003178,0.960001816,0.95000227,0.830007769,0.755011061,0.298491401,0.27915366,0.273058517,0.196366698,0.185421646,0.378869129,0.388361708,0.363421509,0.392394949,0.424622434
grid-004-n,obs-5,R,L,2,14,2,4,0.764134025,1,22,0.3333636,0.767703898,0.767703898,0.550533749,0.548039231,0.87,0.751398878,0.926084555,0.554198918,0.64444185,0.62717416,0.920003632,0.870005902,0.930003178,0.750276995,0.755011009,0.784507009,0.692862972,0.625142804,0.513090155,0.392221208,0.865711952,0.795768342,0.865514881,0.750828223,0.735674577
grid-005-n,obs-0,L,U,5,10,2,4,0.010308545,4.54E-05,15,0.1667045,0.133034138,0.133034138,0.149869319,0.200746944,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.02004449,0.045037467,0.134370396,0.114963157,0.1130049,0.10022491,0.098963337,0.130327748,0.137961347,0.138120168,0.136340969,0.140883853
grid-005-n,obs-1,R,L,7,2,4,6,0.30108062,0.999954469,15,0.49999993,0.627053011,0.627053011,0.563526471,0.458620768,0.879972263,0.689988734,0.879969732,0.679996876,0.719989045,0.520007729,0.984080614,0.976239324,0.984009924,0.950698824,0.938342176,0.461615974,0.451425143,0.384924193,0.399550451,0.344799547,0.521025934,0.504444926,0.507777414,0.509043713,0.473856905
grid-005-n,obs-2,L,L,12,5,2,4,0.010806199,4.54E-05,15,0.5000227,0.221678682,0.221678682,0.360850691,0.532160752,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.02004449,0.050043128,0.221113894,0.210879896,0.165294789,0.148782024,0.128613501,0.245600256,0.25236814,0.25824995,0.239719363,0.235344187
grid-005-n,obs-3,R,NaN,4,6,1,3,0.713991184,1,15,0.5000227,0.652174329,0.652174329,0.576098515,0.306433884,0.82,0.76,0.88,0.59,0.67,0.64,0.98924791,0.999539679,0.990002959,0.98952851,0.982075989,0.722026242,0.631681728,0.576849862,0.506592199,0.47896294,0.719760334,0.722337179,0.749261039,0.722337812,0.630105256
grid-005-n,obs-4,L,U,9,12,4,6,0.01144604,4.54E-05,15,0.1667045,0.112632918,0.112632918,0.139668709,0.154421953,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010044944,0.010111344,0.046704395,0.042042961,0.038946694,0.040514904,0.033145268,0.049695737,0.057853869,0.05264616,0.062743989,0.081191624
grid-005-n,obs-5,R,U,2,9,3,5,0.013081189,4.54E-05,15,0.1667045,0.06,0.06,0.11335225,0.156372193,5.63E-05,5.33E-05,5.36E-05,6.56E-05,6.28E-05,4.59E-05,0.070388228,0.105227489,0.070228617,0.160691029,0.258579829,0.072069104,0.086,0.124475482,0.124377505,0.093223509,0.1164827,0.157607576,0.094104697,0.198993104,0.254127161
grid-006-n,obs-0,R,U,4,11,1,3,0.01079578,4.54E-05,13,0.04170923,0.061245071,0.061245071,0.051477151,0.106391344,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.03597658,0.039122057,0.034092507,0.036614309,0.040035463,0.041138482,0.042012323,0.039030772,0.045713887,0.042183917
grid-006-n,obs-1,L,NaN,3,4,1,3,0.70278891,1,13,0.45836355,0.58489447,0.58489447,0.52162901,0.332610465,0.81,0.79,0.89,0.55,0.67,0.56,1,1,1,1,0.990000454,0.524896999,0.49514097,0.424199832,0.403242284,0.324995556,0.529090019,0.534328112,0.555003222,0.548564612,0.548831995
grid-006-n,obs-2,L,L,7,1,2,4,0.148523759,0.499700013,13,0.70813504,0.401737604,0.401737604,0.554936322,0.291043123,0.469815726,0.449842449,0.469777912,0.419928261,0.484888809,0.284939077,0.41036772,0.46995979,0.484862367,0.40501656,0.420005526,0.359591983,0.397162117,0.384929243,0.346768368,0.31361406,0.400508357,0.380068802,0.403008488,0.420042877,0.374933061
grid-006-n,obs-3,R,L,11,7,3,5,0.010468635,4.54E-05,13,0.41666424,0.084527991,0.084527991,0.250596116,0.307788436,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.060415524,0.058978921,0.054351057,0.049151498,0.034729985,0.059095353,0.055575368,0.059195964,0.062823885,0.054788313
grid-006-n,obs-4,R,U,7,15,5,7,0.008914697,4.54E-05,13,0.08337495,0.049023848,0.049023848,0.066199399,0.163241401,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.013696878,0.01253814,0.012113168,0.009573958,0.010829691,0.014789976,0.014817275,0.014009014,0.016768877,0.01579386
grid-006-n,obs-5,L,U,1,8,4,6,0.790218369,1,13,0.41669206,0.66545701,0.66545701,0.541074535,0.207485932,0.670020104,0.580024584,0.79001308,0.290039326,0.410033878,0.250037989,0.910336287,0.800739917,0.880204767,0.740742646,0.700412261,0.741600859,0.571995095,0.541459226,0.425694631,0.425238581,0.732794577,0.69813967,0.749616418,0.533712221,0.561714683
grid-007-n,obs-0,L,NaN,4,6,1,3,0.327268409,1,22,0.58335225,0.413859516,0.413859516,0.498605883,0.516283974,0.87,0.77,0.97,0.69,0.58,0.55,0.991642675,0.984151531,0.995441459,0.924136196,0.95199633,0.441224989,0.44766747,0.410001508,0.392562518,0.38985826,0.525662632,0.533546843,0.511715493,0.538853988,0.567221618
grid-007-n,obs-1,L,L,6,3,4,6,0.010261283,4.54E-05,22,4.54E-05,0.418422212,0.418422212,0.209233806,0.232245978,0.100040858,0.17003768,0.02004449,0.140039042,0.320030871,0.130039496,0.135033766,0.110040367,0.060042674,0.294891824,0.400027164,0.290267186,0.280565926,0.258551666,0.254428041,0.20618749,0.359032035,0.363709895,0.339892116,0.371304226,0.412369
grid-007-n,obs-2,R,NaN,11,9,3,5,0.00935867,4.54E-05,22,0.1667045,0.212354409,0.212354409,0.189529455,0.124461168,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010044944,0.101607559,0.09381679,0.074743138,0.064334148,0.054013186,0.126015065,0.114340732,0.128909392,0.126887201,0.119135145
grid-007-n,obs-3,R,R,6,10,3,5,0.31087886,0.923954097,22,0.70566056,0.629291916,0.629291916,0.667476238,0.497332103,0.656021803,0.591349599,0.831566037,0.388089686,0.397328421,0.286458675,0.792506386,0.81522873,0.84609306,0.651080549,0.55445562,0.361868927,0.310739359,0.271142388,0.25518711,0.157504439,0.437570951,0.396623674,0.428545949,0.401536303,0.366105505
grid-007-n,obs-4,L,U,1,8,3,5,0.834916865,1,22,0.22086019,0.816170855,0.816170855,0.518515523,0.501649683,0.88,0.76,0.84,0.55,0.62,0.52,0.940140618,0.880301519,0.960078369,0.800340603,0.790193021,0.788669582,0.72958323,0.664725111,0.601606745,0.524633131,0.851352853,0.807815548,0.853704209,0.720241471,0.715881189
grid-007-n,obs-5,R,L,11,3,1,3,0.24128266,1,22,1,0.257286917,0.257286917,0.628643459,0.682305619,0.750011349,0.570019521,0.90000454,0.460024515,0.390027693,0.360029055,0.868909735,0.888282814,0.939107985,0.708223662,0.598787733,0.372195367,0.336651655,0.301802719,0.261738119,0.188481822,0.414719918,0.381778706,0.422111439,0.367038139,0.341902686
grid-008-n,obs-0,L,U,3,4,3,5,0.808703611,1,13,0.85135793,0.765726516,0.765726516,0.808542223,0.299786783,0.85,0.78,0.88,0.69,0.67,0.78,0.850020844,0.820031799,0.940005773,0.610065907,0.510091868,0.701113479,0.708871232,0.669642399,0.559631311,0.463137947,0.856432651,0.886825046,0.82026042,0.848832254,0.922036559
grid-008-n,obs-1,L,L,11,3,1,3,0.009901814,4.54E-05,13,0.05559591,0.076648774,0.076648774,0.066122342,0.465080261,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010038365,0.01504149,0.015035036,0.055020063,0.038073047,0.035811773,0.031424512,0.026601428,0.02284492,0.068654132,0.065097898,0.05224926,0.078360606,0.090044057
grid-008-n,obs-2,R,NaN,13,9,1,3,0.010983525,4.54E-05,13,0.05559591,0.047312605,0.047312605,0.051454258,0.129916756,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.005037882,4.54E-05,0.010030305,0.007025278,0.008033313,0.008874577,0.007327552,0.008516074,0.019578456,0.00892234,0.0084628,0.014738907,0.014598668
grid-008-n,obs-3,L,U,2,8,3,5,0.785904477,0.999954489,13,0.32698166,0.885664329,0.885664329,0.606322995,0.146441401,0.67998358,0.629988125,0.779974489,0.430006307,0.46000358,0.440005398,0.819952856,0.779950369,0.934957853,0.559964495,0.49499206,0.500483952,0.506324562,0.39451767,0.344267358,0.265352075,0.588794692,0.581874266,0.595534675,0.504132024,0.501734716
grid-008-n,obs-4,R,U,7,12,4,6,0.012148444,4.54E-05,13,0.1667045,0,0,0.08335225,0.15412418,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,5.05E-05,4.54E-05,0.000116848,4.57E-05,0.000217465,0.000981567,0.001096816,0.000880357,0.003719506,0.000509607,0.000146012,0.000316652,0.004807777
grid-008-n,obs-5,R,L,13,5,1,3,0.011066733,4.54E-05,13,0.05559591,0.037850356,0.037850356,0.046723133,0.208781478,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010044944,4.54E-05,0.02004449,0.009647398,0.01008055,0.011881822,0.012527482,0.01210986,0.020650769,0.010658685,0.010641733,0.017285992,0.016809897
grid-009-n,obs-0,L,NaN,5,3,1,3,0.335027551,1,22,0.6666818,0.431985526,0.431985526,0.549333663,0.420562484,0.8,0.7,0.87,0.62,0.66,0.66,0.980000908,0.95000227,0.990000454,0.920003632,0.940002724,0.44940367,0.437030456,0.40646782,0.355310583,0.336967742,0.613687875,0.636961841,0.545451639,0.793338396,0.821311892
grid-009-n,obs-1,L,L,1,8,5,7,0.014867946,8.48E-05,22,0.00034852,0.373333333,0.373333333,0.186840927,0.249717919,0.226172611,0.324589829,0.236152936,0.318468993,0.318428052,0.122299669,0.240083235,0.170088107,0.080088854,0.410057352,0.240067195,0.546934958,0.532112712,0.508277338,0.482623594,0.444672886,0.718407163,0.73722185,0.624379008,0.949038911,0.900055441
grid-009-n,obs-2,R,L,8,10,5,7,0.449030971,0.499473485,22,0.49968058,0.665449362,0.665449362,0.582564971,0.484524094,0.329720921,0.204902842,0.349724971,0.119972172,0.149988918,0.105021328,0.45463927,0.413931147,0.483804129,0.397586826,0.387695089,0.315005706,0.249801639,0.194971627,0.127032593,0.115146352,0.484929618,0.464277784,0.450379238,0.543838554,0.568131241
