,grid,side,Quad,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior,RandomForgetsVGC,TargetForgetsVGC,SpatialsVGC,SpatialsVGC010,SpatialsVGC025,SpatialsVGC033,SpatialsVGC040,RandomForgetsVGC010,RandomForgetsVGC025,RandomForgetsVGC033,RandomForgetsVGC040
25,grid-004-l,R,L,obs-1,1,15,3,5,0.012623021,4.54E-05,15,0.237447632,0.078948292,4.54E-05,4.54E-05,0.07004222,0.02004449,0.060042674,0.060042674,0.080041766,4.54E-05,4.54E-05,4.54E-05,4.54E-05
26,grid-004-l,L,L,obs-2,2,11,4,6,0.012337755,4.54E-05,15,0.03,0.020029488,4.54E-05,4.54E-05,0.086242157,0.039283755,0.125480534,0.13548008,0.214716621,4.54E-05,4.54E-05,4.54E-05,4.54E-05
27,grid-004-l,L,U,obs-3,9,3,3,5,0.361859934,1,15,0.379938103,0.58812624,0.850005647,0.590016645,0.870005905,0.890004997,0.770010442,0.85000681,0.68001453,0.91000337,0.740010193,0.670012834,0.59001638
28,grid-004-l,R,U,obs-4,10,10,4,6,0.012052489,4.54E-05,15,0.224598791,0.311407437,4.54E-05,4.54E-05,0.07004222,0.02004449,0.060042674,0.060042674,0.080041766,4.54E-05,4.54E-05,4.54E-05,4.54E-05
29,grid-004-l,R,L,obs-5,5,14,2,4,0.011909856,4.54E-05,15,0.206094858,0.408935745,4.54E-05,4.54E-05,0.060042674,0.02004449,0.060042674,0.050043128,0.045109607,4.54E-05,4.54E-05,4.54E-05,4.54E-05
30,grid-005-l,L,U,obs-0,4,9,3,5,0.013037903,4.54E-05,15,0.323170366,0.519975359,4.54E-05,4.54E-05,0.02004449,0.010044944,0.02004449,0.055102435,0.060042674,4.54E-05,4.54E-05,4.54E-05,4.54E-05
31,grid-005-l,R,L,obs-1,16,4,4,6,0.010758051,4.54E-05,15,0.195933479,0.220014036,4.54E-05,4.54E-05,0.019910061,0.009977751,0.02004449,0.069773375,0.059908259,4.54E-05,4.54E-05,4.54E-05,4.54E-05
32,grid-005-l,L,L,obs-2,10,3,2,4,0.356796808,1,15,0.312830135,0.273993389,0.80000908,0.250034048,1,1,1,0.990000454,1,0.880005448,0.690014073,0.680014527,0.59001861
33,grid-005-l,R,NA,obs-3,13,8,1,3,0.011826731,4.54E-05,15,0.062443599,0.540286137,4.54E-05,4.54E-05,0.02004449,0.010044944,0.010044944,0.050043128,0.040043582,4.54E-05,4.54E-05,4.54E-05,4.54E-05
34,grid-005-l,L,U,obs-4,2,9,3,5,0.866699915,1,15,0.79449306,0.080478184,0.810008626,0.060042674,0.836289219,0.921652689,0.765691686,0.693149102,0.658559806,0.940002724,0.730012257,0.690014073,0.62001725
35,grid-005-l,R,U,obs-5,7,11,3,5,0.013607865,4.54E-05,15,0.096802307,0.476923354,4.54E-05,4.54E-05,0.02004449,0.010044944,0.019283759,0.050040797,0.058521212,4.54E-05,4.54E-05,4.54E-05,4.54E-05
36,grid-006-l,R,U,obs-0,2,8,1,3,0.011256911,4.54E-05,16,0.313607036,0.013376692,4.54E-05,4.54E-05,0.140039209,0.020053222,0.140047579,0.110863777,0.126783059,4.54E-05,4.54E-05,4.54E-05,4.54E-05
37,grid-006-l,L,L,obs-1,11,6,1,3,0.011456737,4.54E-05,16,0.191619324,0.313353471,4.54E-05,4.54E-05,0.010044944,0.02004449,0.02004449,0.030044036,0.100040858,4.54E-05,4.54E-05,4.54E-05,4.54E-05
