,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior
61,grid-010-l,obs-1,R,NA,6,6,1,3,0.013337137,4.54E-05,15,0.221812207,0.540027393
62,grid-010-l,obs-2,R,L,2,8,1,3,0.011982027,4.54E-05,15,0.167584598,0.420027211
63,grid-010-l,obs-3,L,L,6,5,4,6,0.578275444,0.99995447,15,0.639227684,0.359992823
64,grid-010-l,obs-4,R,U,9,6,3,5,0.012909208,4.54E-05,15,0.066315789,0.040544922
65,grid-010-l,obs-5,L,NA,7,1,1,3,0.571571215,1,15,0.636943688,0.480018143
66,grid-011-l,obs-0,L,U,11,2,4,6,0.007553862,4.54E-05,16,0.238127228,0.160531438
67,grid-011-l,obs-1,R,NA,6,8,2,4,0.009458749,4.54E-05,16,0.217467268,0.679918113
68,grid-011-l,obs-2,R,L,1,7,1,3,0.445415134,1,16,0.525026816,0.560622492
69,grid-011-l,obs-3,L,L,5,6,4,6,0.655543878,0.999999998,16,0.559403467,0.140038588
70,grid-011-l,obs-4,R,U,8,5,3,5,0.008473463,4.54E-05,16,0.208119665,0.675644487
71,grid-011-l,obs-5,L,NA,8,3,1,3,0.524172359,1,16,0.465226521,0.479752969
